test, clear, tor-clear , tor-anon, Delta-clear, Magnitude-anon,Magnitude-tor
1,0.000421,0.009184,0.007678,0.007257,18.2375296912,21.8147268409
2,0.000437,0.008356,0.007509,0.007072,17.1830663616,19.1212814645
3,0.000224,0.008694,0.007624,0.0074,34.0357142857,38.8125
4,0.000426,0.00953,0.00787,0.007444,18.4741784038,22.3708920188
5,0.00022,0.009187,0.007701,0.007481,35.0045454545,41.7590909091
6,0.000275,0.009632,0.00761,0.007335,27.6727272727,35.0254545455
7,0.000465,0.009802,0.007533,0.007068,16.2,21.0795698925
8,0.000463,0.009735,0.007555,0.007092,16.3174946004,21.0259179266
9,0.0003,0.009797,0.00747,0.00717,24.9,32.6566666667
10,0.000415,0.009566,0.007496,0.007081,18.0626506024,23.0506024096
Total,0.003646,0.093483,0.076046,0.0724,20.8573779484,25.6398793198
Average,0.0003646,0.0093483,0.0076046,0.00724,20.8573779484,25.6398793198
